comparison_group,n_cells,H_median,H_mean,S_median,S_mean,M_median,M_mean,R_median,R_mean,phi_median,phi_mean
D2_1 treated,387,1.565321295279635,1.6002700013165783,-0.1830170093171592,-0.35924089886366845,0.67628217,0.6160945759793283,-0.06083584,-0.06088713154557363,1.906681242758616,1.9905587504686155
D2_1 untreated,1258,1.7799110570046461,1.941598190717901,-0.038822405147412795,-0.23843156584780864,0.72221309,0.660941205217647,-0.31754024999999997,-0.2260335420313116,2.205544398468299,2.371430848435006
D2_2 immune-like,2520,-0.14945176875420463,-0.2343801949075159,-0.37676292972674824,-0.5697918058280971,-0.0609022085,-0.18719540229906348,0.703390595,0.7102384925367814,1.619800034857984,1.66971211634579
Normal donors,470,0.367491660709819,0.12610675566585627,-0.02671046983159495,-0.18400732610916734,0.067678415,-0.19718472513489357,1.42352065,1.2055802235295745,1.9880940532746654,2.175383921029545
