cell_id,d2_subdomain,bcell_lymphoid_like_score,antigen_presentation_score,stress_immediate_early_score,malignant_output_core_score
GSM4916501_ND1_untreated_070218_plate1_A10_S71_rep1_NA,D2_2,0.559486148893509,0.2066575765611543,0.33107840374783337,0.04904175874450219
GSM4916502_ND1_untreated_070218_plate1_A11_S79_rep1_NA,D2_2,0.8610012874309211,1.360055323034144,0.7911080238688796,1.1566468907931202
GSM4916503_ND1_untreated_070218_plate1_A12_S87_rep1_NA,D2_2,0.6116312840953335,1.3846905623110284,-1.6653355375568608,1.2262795641143645
GSM4916504_ND1_untreated_070218_plate1_A1_S1_rep1_NA,D2_2,-0.6745,1.1340072791927955,-1.6653355375568608,0.893593164439452
GSM4916505_ND1_untreated_070218_plate1_A2_S9_rep1_NA,D2_2,0.6934022910480552,1.177301724371961,0.6468489402254584,0.8563534540504535
GSM4916506_ND1_untreated_070218_plate1_A3_S16_rep1_NA,D2_2,0.990527269103805,1.0278655013275912,0.8881310555513331,0.7056524488311178
GSM4916507_ND1_untreated_070218_plate1_A4_S23_rep1_NA,D2_1,1.0969143367818817,2.161077346345935,-1.6653355375568608,1.7198928795877277
GSM4916509_ND1_untreated_070218_plate1_A6_S39_rep1_NA,D2_2,1.0448641910154506,1.9707150741417279,1.332216040534464,1.6522812744413937
GSM4916510_ND1_untreated_070218_plate1_A7_S47_rep1_NA,D2_2,0.9110926375895532,2.0247914142620185,0.22087083756564801,1.719735516690758
GSM4916512_ND1_untreated_070218_plate1_A9_S63_rep1_NA,D2_2,-0.5292543307897482,-1.237538498541878,-1.3034943303156221,0.7406328844979186
GSM4916513_ND1_untreated_070218_plate1_B10_S72_rep1_NA,D2_2,1.0910725037383924,1.4298284993093515,1.1949209732609185,1.0307613075652386
GSM4916514_ND1_untreated_070218_plate1_B11_S80_rep1_NA,D2_2,0.9700428605057574,1.974248471019636,-1.0244265610417942,1.5663848730026197
GSM4916515_ND1_untreated_070218_plate1_B12_S88_rep1_NA,D2_2,0.9334845650470271,1.811682746074775,0.368075375580966,0.8199977184331624
GSM4916516_ND1_untreated_070218_plate1_B1_S2_rep1_NA,D2_1,0.46683770827874466,1.732577279805193,1.088924715233219,1.2772888370905122
GSM4916517_ND1_untreated_070218_plate1_B2_S10_rep1_NA,D2_1,1.1143043625526112,1.6704702275749546,0.5048068644955329,1.3545494486934482
GSM4916518_ND1_untreated_070218_plate1_B3_S17_rep1_NA,D2_2,0.7447665271785429,0.8971697772790447,0.44916722128236125,0.3340857764995685
GSM4916519_ND1_untreated_070218_plate1_B4_S24_rep1_NA,D2_1,0.29049133842050373,1.7821385463795199,1.4094445109107676,1.2807510856168713
GSM4916520_ND1_untreated_070218_plate1_B5_S32_rep1_NA,D2_2,-0.6745,2.546140457063784,-1.6653355375568608,1.949907428012419
GSM4916521_ND1_untreated_070218_plate1_B6_S40_rep1_NA,D2_2,1.0326038321076376,1.4223430296626798,0.9510450993155125,1.2343341948706341
GSM4916522_ND1_untreated_070218_plate1_B7_S48_rep1_NA,D2_2,0.7752794196271576,1.4114312098987971,0.7280816919447921,1.1011248342924687
GSM4916523_ND1_untreated_070218_plate1_B8_S56_rep1_NA,D2_2,1.362062230451537,2.7486853108677587,2.0494222634497268,1.6960809958776883
GSM4916524_ND1_untreated_070218_plate1_B9_S64_rep1_NA,D2_2,0.6581182207091376,1.335865156732737,1.0241190895879178,1.0311646307574287
GSM4916525_ND1_untreated_070218_plate1_C10_S73_rep1_NA,D2_2,1.3802047248570877,0.6600243391525572,0.9954778648983686,0.6527176920101583
GSM4916526_ND1_untreated_070218_plate1_C11_S81_rep1_NA,D2_2,0.9540665409850242,1.1403973173994244,1.1682279875099637,0.7936543346428144
GSM4916527_ND1_untreated_070218_plate1_C12_S89_rep1_NA,D2_2,1.425157611359929,2.5868482868908886,1.1223165729826956,1.6134305435990433
GSM4916528_ND1_untreated_070218_plate1_C1_S3_rep1_NA,D2_2,1.1925007850185585,0.8656983851307126,1.0339873177343504,0.6590744868627678
GSM4916529_ND1_untreated_070218_plate1_C2_S11_rep1_NA,D2_2,1.1656006776874615,0.2834863092403728,1.1013748838218613,0.5650387013754976
