pc,corr_with_S,abs_corr_with_S,n
PC2,0.125116001060674,0.125116001060674,363
PC5,0.06689625934503547,0.06689625934503547,363
PC1,-0.06354096233480691,0.06354096233480691,363
PC3,0.05601332984089901,0.05601332984089901,363
PC4,-0.04492183725329746,0.04492183725329746,363
